boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,,,,,,,,,,53.00,ZOTAC GeForce GT 1030 2GB GDDR5 64-bit PCIe 3.0 DirectX 12 HDCP Ready Low Profile Video Card ZT-P10300A-10L,396,Rating + 4,https://www.newegg.com/zotac-geforce-gt-1030-zt-p10300a-10l/p/N82E16814500424
,,,,,,,,,,63.00,BTO NVIDIA GeForce GT 730 4GB VGA/DVI/HDMI PCI-E Video Card for Desktop / Tower,401,Rating + 5,https://www.newegg.com/p/1FT-00AR-00001
,,,,,,,,,,919.99,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",394,Rating + 3,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2067-kr/p/N82E16814487442
,,,,,,,,,,475.99,PNY GeForce GT 430 (Fermi) DirectX 11 VCGGT4301XPB 1GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,392,Rating + 5,https://www.newegg.com/pny-geforce-gt-430-vcggt4301xpb/p/N82E16814133356
,,,,,,,,,,708.90,CORN GTX750Ti 2GB 128Bit GDDR5 Graphic Card Video Card GPU DirectX 12 PCI Express3.0 x16 DVI-D/VGA/HDMI,390,Rating + 3,https://www.newegg.com/p/1FT-0040-00007
,,,,,,,,,,475.99,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC2 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,391,Rating + 5,https://www.newegg.com/pny-geforce-gtx-1060-vcggtx10606xgpb-oc2/p/N82E16814133733
,,,,,,,,,,229.99,SAPPHIRE Radeon RX 6800 DirectX 12 21305-01-20G 16GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,385,Rating + 4,https://www.newegg.com/sapphire-radeon-rx-6800-21305-01-20g/p/N82E16814202389
,,,,,,,,,,229.99,MSI GeForce RTX 2060 DirectX 12 RTX 2060 AERO ITX 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,386,Rating + 4,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-aero-itx-6g/p/N82E16814137384
,,,,,,,,,,708.90,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,389,Rating + 3,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-gaming-x-4g/p/1FT-0009-004T9
,,,,,,,,,,48.55,JATON Radeon HD 3450 DirectX 10.1 3DForce3450-DVI 512MB 64-Bit DDR2 AGP 4X/8X Video Card,388,Rating + 3,https://www.newegg.com/jaton-radeon-hd-3450-3dforce3450-dvi/p/N82E16814139053
,,,,,,,,,,48.55,ZOTAC GeForce GT 710 DirectX 12 ZT-71301-20L 1GB 64-Bit DDR3 PCI Express 2.0 x8 Video Card,387,Rating + 3,https://www.newegg.com/zotac-geforce-gt-710-zt-71301-20l/p/N82E16814500392
,,,,,,,,,,698.97,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 11296-01-20G 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,382,Rating + 4,https://www.newegg.com/sapphire-radeon-rx-5600-xt-11296-01-20g/p/N82E16814202365
,,,,,,,,,,"2,352.79",ASUS ROG-STRIX-RTX2070S-O8G-GAMING - OC Edition - graphics card - GF RTX 2070 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - 2 x HD,384,Rating + 4,https://www.newegg.com/p/1FT-000Y-004A6
